City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,gympie,-26.1898,152.665,21.36,84,81,0.9,AU,1701798670
1,douglas,41.3,-96.167,6.02,64,0,7.2,US,1701798612
2,jamestown,42.097,-79.2353,1.77,98,100,0.45,US,1701798757
3,adamstown,-25.066,-130.1015,22.52,82,100,6.33,PN,1701798812
4,ancud,-41.8697,-73.8203,15.4,74,13,3.03,CL,1701798549
5,papao,-17.75,-149.55,27.82,81,100,8.31,PF,1701798812
6,tiksi,71.6872,128.8694,-18.68,96,100,4.92,RU,1701798813
7,soio,-6.1349,12.3689,26.23,79,87,2.77,AO,1701798813
8,corfu,39.62,19.9197,11.88,100,100,0.0,GR,1701798813
9,grytviken,-54.2811,-36.5092,3.35,94,71,6.2,GS,1701798813
10,bredasdorp,-34.5322,20.0403,17.28,77,86,6.33,ZA,1701798814
11,port-aux-francais,-49.35,70.2167,4.54,90,97,9.7,TF,1701798814
12,ad dawadimi,24.5077,44.3924,17.64,25,0,4.14,SA,1701798814
13,albany,42.6001,-73.9662,2.58,81,68,2.63,US,1701798645
14,edinburgh of the seven seas,-37.0676,-12.3116,15.07,95,100,5.25,SH,1701798814
15,ust'-ilimsk,58.0006,102.6619,-30.16,100,96,0.53,RU,1701798814
16,santa elena de uairen,4.6167,-61.1333,30.63,30,29,3.63,VE,1701798814
17,bel ombre,-4.6167,55.4167,28.91,65,20,2.06,SC,1701798815
18,zhelezinka,53.54,75.3072,0.21,99,100,2.44,KZ,1701798815
19,dunedin,-45.8742,170.5036,12.11,83,95,1.34,NZ,1701798568
20,waitangi,-43.9535,-176.5597,11.57,72,97,2.24,NZ,1701798815
21,guercif,34.2257,-3.3536,17.54,24,100,1.49,MA,1701798815
22,aasiaat,68.7098,-52.8699,-18.68,98,81,3.5,GL,1701798816
23,yellowknife,62.456,-114.3525,-8.1,100,100,7.72,CA,1701798816
24,margaret river,-33.95,115.0667,12.99,88,6,4.54,AU,1701798816
25,kudahuvadhoo,2.6708,72.8944,28.19,78,76,5.38,MV,1701798816
26,saudarkrokur,65.7461,-19.6394,-3.98,72,23,2.87,IS,1701798817
27,aykhal,66.0,111.5,-30.36,97,100,3.35,RU,1701798817
28,papatowai,-46.5619,169.4708,10.17,83,90,0.9,NZ,1701798817
29,invercargill,-46.4,168.35,6.35,92,65,1.95,NZ,1701798817
30,konarka,19.9,86.1167,24.22,75,100,5.06,IN,1701798817
31,la peca,-5.6111,-78.435,27.75,62,84,2.51,PE,1701798818
32,jalai nur,49.45,117.7,-15.8,71,3,9.3,CN,1701798818
33,homer,59.6425,-151.5483,1.93,75,100,2.06,US,1701798818
34,nar'yan-mar,67.6713,53.087,-29.38,94,9,3.13,RU,1701798818
35,blackmans bay,-43.0167,147.3167,12.63,59,19,1.34,AU,1701798818
36,antsiranana,-12.2787,49.2917,25.84,76,87,5.12,MG,1701798818
37,bethel,41.3712,-73.414,5.88,63,100,3.6,US,1701798568
38,viedma,-40.8135,-62.9967,28.48,24,50,7.63,AR,1701798819
39,galle,6.0367,80.217,25.78,88,70,1.84,LK,1701798819
40,buala,-8.145,159.5921,27.17,86,100,7.79,SB,1701798819
41,ribeira grande,38.5167,-28.7,19.32,88,40,10.8,PT,1701798819
42,toliara,-23.35,43.6667,23.57,86,73,1.69,MG,1701798819
43,longyearbyen,78.2186,15.6401,-5.09,63,75,7.2,SJ,1701798819
44,kerikeri,-35.2268,173.9474,14.39,94,56,1.42,NZ,1701798819
45,ushuaia,-54.8,-68.3,4.81,75,75,15.95,AR,1701798820
46,nantucket,41.2835,-70.0995,6.06,69,20,6.69,US,1701798695
47,olonkinbyen,70.9221,-8.7187,-1.89,76,86,5.83,SJ,1701798820
48,nova xavantina,-14.6667,-52.35,37.61,27,81,2.76,BR,1701798820
49,kodiak,57.79,-152.4072,0.73,86,100,9.26,US,1701798628
